Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,643.1,943.3,1518.1,1259.0
2,1231.4,1018.2,1677.8,1507.8
3,1112.2,508.5,1360.0,1127.1
4,1167.7,702.9,1417.8,1233.0
5,1095.2,423.4,1263.2,964.7
6,1125.4,515.2,1295.0,1101.4
7,1060.0,413.8,1186.2,913.5
8,1086.2,461.1,1200.5,1013.5
9,1113.4,499.7,1246.7,1070.7
10,1057.4,438.9,1154.8,977.7
11,1075.1,464.2,1180.3,1011.4
12,1087.9,488.7,1203.8,1042.3
13,1095.2,512.8,1220.7,1068.9
14,1102.9,536.4,1244.5,1097.6
15,1106.6,554.4,1269.4,1122.6
16,1068.9,505.6,1193.9,1048.3
17,1037.1,469.8,1137.0,987.6
18,1005.8,442.9,1087.3,936.8
19,985.9,419.7,1052.0,899.2
20,960.8,400.1,1016.1,863.9
