Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10746.5,10996.6,12189.7,12127.8
2,12245.2,11923.6,13969.4,13833.6
3,12559.0,12066.9,14160.5,14081.7
4,12467.8,12217.4,14209.1,14091.9
5,11866.5,12256.3,14078.6,14054.7
6,12138.2,12170.0,14155.6,14159.9
7,11852.8,11930.0,12968.9,13572.0
8,12019.1,12117.0,13833.4,13812.2
9,12128.9,12080.9,13857.5,13820.0
10,12107.4,12001.3,13715.3,13724.8
11,11605.8,11332.9,12961.6,12736.8
12,11412.3,10829.3,12591.5,12120.1
13,11204.0,10408.8,12162.5,11612.8
14,10976.8,9991.1,11793.6,11053.9
15,10775.3,9722.4,11465.4,10744.3
16,10714.6,9487.2,11271.6,10484.6
17,10539.8,9209.6,11081.3,10200.1
18,10363.1,9029.5,10879.2,9935.1
19,10157.8,8874.8,10683.5,9627.2
20,10100.0,8580.9,10630.7,9476.2
