Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10747.8,10995.3,12193.8,12132.4
2,9907.9,9239.6,10594.5,9659.3
3,10709.8,9984.3,11626.3,10977.0
4,10553.6,9276.7,11073.0,10026.9
5,10816.8,9708.2,11411.4,10568.8
6,10556.9,9158.5,10988.1,10010.0
7,10609.5,9465.6,11091.3,10280.5
8,10412.8,9031.5,10972.2,9864.8
9,10212.6,8781.0,10765.8,9578.8
10,10316.9,8897.0,10845.2,9726.9
11,10232.8,8748.1,10667.7,9535.0
12,9999.7,8484.5,10455.6,9151.2
13,9973.8,8307.9,10270.3,9019.7
14,9845.9,7929.5,10097.9,8633.5
15,9701.7,7867.5,9955.5,8527.7
16,9860.3,8085.7,10222.9,8806.4
17,9954.0,8228.6,10390.1,9045.6
18,10075.4,8381.3,10465.3,9223.6
19,10056.6,8457.0,10419.4,9288.2
20,10131.8,8588.6,10625.3,9521.4
