Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,1507.1,1487.0,2454.4,2458.4
2,1444.5,1440.4,2178.4,2192.2
3,1420.1,1416.1,2114.0,2130.7
4,1401.5,1399.5,2063.1,2080.5
5,1382.7,1379.6,2028.0,2044.5
6,1366.8,1364.9,1998.4,2009.6
7,1352.1,1349.9,1968.5,1976.8
8,1334.4,1333.2,1938.3,1949.6
9,1316.8,1315.4,1902.7,1906.9
10,1294.0,1297.3,1857.4,1853.0
11,1260.3,1215.5,1689.7,1663.9
12,1221.0,1045.1,1582.4,1512.6
13,1181.1,798.6,1462.4,1342.9
14,1138.6,644.9,1343.6,1210.5
15,1108.1,553.6,1264.4,1121.0
16,1070.2,502.7,1193.0,1047.4
17,1038.2,465.6,1137.1,987.9
18,1009.5,439.3,1089.4,937.1
19,983.1,416.1,1050.6,896.9
20,961.0,396.8,1014.5,862.9
