Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7650.3,7114.0,7885.2,7174.2
2,9165.3,7481.1,9108.9,7945.9
3,9456.8,7429.1,9230.5,7657.9
4,9292.2,7423.6,9213.9,7693.4
5,9238.6,7345.0,9132.4,7638.0
6,9196.7,7236.5,9142.6,7524.5
7,9110.8,6968.3,8608.4,6842.4
8,9071.3,6952.8,8957.1,7327.4
9,9011.8,6835.7,8954.4,7274.3
10,8922.9,6711.6,8970.8,7155.6
11,9236.1,6966.2,9227.6,7609.6
12,9467.1,7269.0,9553.9,7960.3
13,9584.4,7505.9,9682.8,8239.9
14,9702.0,7557.0,9890.8,8375.4
15,9755.0,7916.4,10070.1,8652.9
16,9953.2,8089.6,10279.3,8878.9
17,10021.0,8268.8,10385.6,9064.2
18,10073.3,8370.9,10503.7,9224.0
19,10035.9,8494.6,10497.7,9335.8
20,9999.4,8548.2,10594.2,9463.4
