Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10744.0,10995.3,12187.8,12128.8
2,12278.8,12009.7,14009.1,13898.3
3,12554.6,12063.3,14114.8,14085.7
4,12509.0,12280.9,14248.0,14130.4
5,11644.4,12242.4,14091.6,14200.3
6,12162.2,12283.9,14132.3,14105.1
7,11867.0,11891.8,13171.6,13537.5
8,12109.2,12102.4,13805.7,13760.0
9,12138.6,12123.8,13840.9,13841.1
10,12066.2,11891.5,13720.2,13662.0
11,11636.8,11355.2,13010.2,12691.4
12,11389.9,10849.4,12555.7,12089.1
13,11224.6,10447.5,12190.2,11633.2
14,11002.4,10008.8,11760.2,11064.6
15,10808.5,9702.4,11484.1,10754.6
16,10686.3,9487.6,11307.7,10491.7
17,10507.8,9225.1,11086.7,10169.8
18,10346.3,9050.6,10869.4,9940.3
19,10124.7,8855.5,10642.4,9599.4
20,10069.8,8568.8,10584.1,9458.1
21,10292.9,8708.1,10772.0,9687.0
22,10289.6,8829.9,10744.0,9844.5
23,10370.3,8948.6,10884.4,10006.0
24,10195.2,8985.3,10861.7,10029.9
25,10420.3,9045.7,10933.8,10041.8
26,10424.7,9124.1,10988.3,10236.9
27,10545.7,9321.2,11158.0,10357.1
28,10567.5,9381.4,11214.6,10439.9
29,10545.2,9431.0,11234.5,10477.8
30,10589.3,9505.8,11281.6,10555.4
31,10486.0,9359.3,11145.9,10378.7
32,10345.8,9193.2,10928.9,10189.0
33,10385.6,9135.4,10960.8,10137.4
34,10337.4,9005.9,10858.3,10002.5
35,10096.4,8814.2,10697.9,9764.4
36,10132.4,8768.2,10655.3,9717.8
37,10092.2,8747.0,10525.9,9592.1
38,9182.5,8268.4,10258.6,9227.6
39,10000.7,8492.1,10435.5,9357.2
40,9930.1,8385.6,10372.3,9245.8
