Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10747.8,10990.6,12196.1,12127.0
2,10547.8,10959.9,11676.5,12065.3
3,10680.0,10190.3,11687.9,11020.4
4,9564.0,9068.8,9612.5,9739.9
5,10723.4,9699.7,11466.1,10540.1
6,10454.1,9860.4,11189.6,10745.5
7,10242.4,8650.2,10567.2,9485.2
8,9909.4,8905.7,10299.0,9942.8
9,10389.5,9014.2,10868.4,10054.3
10,10358.0,9467.0,10892.6,10419.8
11,10439.8,9063.0,11084.0,10229.0
12,10252.7,8743.4,10779.5,9684.0
13,10231.9,8723.0,10662.7,9495.7
14,10075.8,8768.4,10406.1,9568.1
15,10035.3,8589.7,10373.7,9362.1
16,10055.6,8720.4,10487.8,9586.5
17,10165.1,8902.4,10720.0,9852.8
18,9996.7,8625.8,10584.6,9589.0
19,9849.4,8410.0,10284.8,9302.5
20,9901.4,8293.7,10336.0,9423.7
21,10013.8,8491.9,10385.3,9400.6
22,9433.6,8259.8,10190.2,9223.1
23,9793.4,8275.5,10267.6,9112.2
24,9707.1,8058.7,10133.9,8913.8
25,9614.9,7990.6,9862.2,8767.0
26,9626.1,8068.3,10098.3,8999.2
27,9793.2,8238.6,10125.1,9076.7
28,9929.8,8321.8,10225.3,9175.2
29,9849.7,8435.2,10404.8,9320.4
30,9993.2,8528.9,10423.7,9436.9
31,9954.5,8405.1,10423.9,9324.6
32,9733.8,8198.4,10252.5,9106.1
33,9547.7,8139.6,10248.2,9022.7
34,9779.3,8056.1,10107.6,8889.0
35,9698.0,7952.4,10146.0,8814.0
36,9770.3,8063.2,10167.1,8913.6
37,9846.2,8149.3,10224.8,9004.4
38,9149.7,7879.0,10041.8,8836.2
39,9860.0,8295.4,10271.6,9155.4
40,9966.9,8398.6,10341.3,9248.0
