Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10745.7,10999.9,12202.8,12129.6
2,10567.5,10961.8,11049.6,12061.9
3,10659.7,10235.5,11679.9,10982.6
4,9364.8,9025.2,9614.0,9760.1
5,10741.0,9701.3,11422.2,10522.3
6,10473.7,9901.7,11205.7,10724.3
7,10214.8,8663.5,10551.3,9441.5
8,9957.2,8901.1,10442.5,9924.3
9,10394.5,9006.4,10858.7,10058.9
10,10305.4,9516.9,10926.2,10407.7
11,10489.3,9107.0,11090.1,10224.0
12,10269.2,8731.1,10755.5,9708.6
13,10175.6,8674.5,10627.9,9415.3
14,10101.4,8778.4,10540.3,9596.5
15,9917.2,8582.6,10411.9,9443.1
16,10001.2,8729.9,10524.4,9613.4
17,10056.4,8862.5,10682.0,9826.9
18,10069.1,8635.2,10587.4,9572.2
19,9626.8,8321.7,10174.9,9282.0
20,9423.2,8238.7,10311.4,9399.6
21,9929.4,8512.7,10389.0,9393.0
22,9561.4,8251.9,10196.3,9202.9
23,9881.5,8343.6,10270.9,9130.7
24,9676.7,8081.4,10100.4,8913.9
25,9564.2,7923.1,9665.7,8706.6
26,9613.3,8072.7,10039.4,8994.3
27,9719.3,8229.1,10104.2,9087.2
28,9880.6,8324.1,10270.0,9187.7
29,9838.0,8435.4,10338.8,9335.1
30,9945.5,8523.9,10426.2,9402.5
31,9993.2,8395.8,10371.7,9289.2
32,9836.2,8284.6,10254.4,9151.1
33,9790.7,8156.1,10227.9,9024.1
34,9756.2,8076.9,10106.2,8902.3
35,9655.0,7955.0,10099.0,8812.1
36,9791.3,8055.6,10158.3,8910.3
37,9816.3,8137.1,10224.9,8998.8
38,8868.1,7888.0,9874.4,8819.0
39,9898.7,8291.0,10337.8,9161.5
40,9976.1,8399.0,10393.6,9254.9
