Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.2,945.7,1516.3,1258.6
2,731.7,334.8,1223.4,936.3
3,744.0,230.7,1087.2,619.9
4,727.6,199.6,1030.8,552.1
5,675.4,192.8,984.7,528.9
6,622.6,193.4,939.2,509.9
7,565.8,195.2,899.6,489.1
8,540.0,196.8,883.7,473.8
9,515.5,198.2,864.3,456.7
10,501.5,199.9,846.9,439.8
11,614.7,221.1,886.7,498.7
12,713.5,243.3,917.8,547.9
13,827.9,265.3,938.6,595.8
14,879.2,287.9,959.6,642.2
15,897.9,307.6,973.0,684.0
16,914.6,329.7,982.2,726.4
17,928.3,352.3,995.3,775.9
18,943.8,367.6,1002.1,814.1
19,954.1,381.1,1010.6,837.7
20,958.7,399.9,1015.6,864.0
21,944.2,401.5,1001.8,853.5
22,933.3,394.8,998.3,838.9
23,921.6,378.0,984.4,808.1
24,902.8,364.0,966.4,769.8
25,885.4,351.3,940.5,739.6
26,868.9,339.7,919.2,709.5
27,856.6,331.2,904.5,684.9
28,843.3,324.0,888.5,659.1
29,829.5,317.6,868.5,636.3
30,819.3,313.4,855.5,616.4
31,827.8,323.3,864.6,637.1
32,835.0,333.0,873.8,661.0
33,848.1,344.6,881.1,680.9
34,852.3,352.6,886.5,702.2
35,854.8,358.8,892.4,721.6
36,858.7,366.3,897.9,737.2
37,862.8,372.7,901.3,745.9
38,868.0,378.7,905.6,757.3
39,871.4,385.3,908.8,770.5
40,875.7,391.9,915.8,780.9
