Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,642.8,944.8,1517.2,1258.4
2,542.4,866.9,1394.3,1121.8
3,1109.1,506.2,1358.9,1127.1
4,1182.0,949.9,1584.1,1388.5
5,1096.7,423.5,1260.8,965.3
6,1022.1,330.4,1166.2,836.6
7,1136.5,571.2,1328.5,1155.5
8,1095.2,604.5,1278.3,1085.3
9,1056.1,461.5,1198.0,1003.7
10,990.7,392.2,1117.2,861.0
11,1007.5,448.2,1122.6,898.7
12,1048.0,463.0,1154.7,990.2
13,1045.8,447.7,1126.4,968.0
14,1013.5,423.1,1090.8,928.4
15,1029.6,443.8,1112.9,952.3
16,1012.7,444.5,1097.4,939.8
17,981.7,423.6,1060.1,896.6
18,991.1,439.5,1052.4,902.3
19,996.6,448.6,1050.7,899.5
20,954.4,420.0,989.7,841.5
21,967.8,432.6,1008.8,861.9
22,977.0,445.2,1026.7,880.6
23,984.6,456.9,1044.0,899.5
24,990.8,467.5,1058.6,915.8
25,996.9,478.8,1073.0,932.8
26,979.8,457.9,1049.9,906.8
27,964.8,440.0,1024.7,882.8
28,951.4,424.8,1004.6,862.2
29,936.6,412.0,987.1,842.1
30,923.4,401.0,968.1,826.2
31,924.9,408.9,980.1,835.3
32,930.0,416.7,988.7,846.7
33,931.9,423.7,996.1,857.2
34,936.3,431.4,1006.2,868.1
35,935.7,438.4,1013.8,879.0
36,922.3,427.8,990.7,854.5
37,911.1,417.2,969.4,832.7
38,899.0,407.8,950.0,813.7
39,884.5,399.7,932.7,795.7
40,875.2,392.2,916.5,781.4
