Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7651.1,7114.9,7884.2,7178.3
2,9158.4,7460.2,9124.6,7973.2
3,9450.0,7434.7,9230.0,7665.0
4,9289.5,7401.1,9231.5,7675.3
5,9241.2,7316.2,9133.0,7639.2
6,9196.8,7261.6,9143.7,7551.4
7,9112.7,6961.2,8607.1,6780.5
8,9083.2,6992.5,8962.1,7349.2
9,9002.4,6803.1,8987.5,7288.1
10,8908.5,6713.7,8975.1,7202.5
11,9235.9,6972.2,9250.8,7578.7
12,9442.5,7208.7,9534.9,7936.8
13,9583.5,7523.9,9667.7,8263.1
14,9688.2,7660.8,9906.3,8414.0
15,9779.8,7910.9,10046.0,8612.2
16,9891.1,8125.9,10286.3,8858.7
17,10039.0,8268.5,10403.0,9061.9
18,10018.2,8419.1,10501.2,9226.7
19,9978.0,8475.0,10478.2,9353.0
20,10024.2,8566.8,10593.2,9485.9
21,10021.6,8540.3,10448.8,9396.1
22,9927.8,8348.9,10300.4,9227.0
23,9939.2,8387.9,10325.5,9140.6
24,9546.1,8118.1,10089.1,8864.5
25,9775.8,8071.3,9996.9,8853.1
26,9689.0,7855.1,10036.8,8714.6
27,9691.9,7820.2,9978.8,8617.2
28,9569.4,7701.4,9924.9,8495.8
29,9433.6,7566.2,9823.0,8361.5
30,9462.2,7516.1,9782.1,8290.6
31,9505.1,7603.8,9884.6,8405.8
32,9586.4,7649.2,9831.1,8492.6
33,9692.3,7846.9,10044.7,8689.0
34,9762.6,7910.5,10107.9,8752.2
35,9695.8,7929.2,10096.6,8791.2
36,9769.1,8074.9,10192.8,8926.4
37,9872.9,8161.6,10303.1,9020.4
38,8974.1,7927.7,10067.9,8854.9
39,9981.7,8345.0,10375.6,9199.6
40,9973.3,8402.2,10400.7,9262.2
