Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10751.9,10999.1,12180.2,12132.5
2,12266.1,11939.6,14017.0,13896.0
3,12563.7,12058.7,14214.9,14062.3
4,12294.2,12112.2,14236.0,14095.7
5,11617.3,12299.4,14078.2,14062.4
6,12163.6,12184.3,14183.7,14135.7
7,11854.1,11997.1,13321.4,13498.9
8,12018.1,12093.2,13823.3,13752.4
9,12118.3,12155.9,13871.0,13884.8
10,12061.4,11836.7,13674.3,13730.5
11,11791.1,11818.3,13383.2,13432.0
12,11747.9,11859.3,13421.7,13700.1
13,11868.0,11919.2,13740.0,13759.5
14,11936.6,11916.8,13430.4,13693.9
15,11708.8,12007.9,13489.2,13725.8
16,11935.1,11921.6,13634.3,13717.9
17,11823.6,11918.0,13529.0,13624.1
18,11804.6,11752.9,13380.6,13497.7
19,11541.5,11673.9,13251.1,13439.4
20,11306.9,11574.3,13312.8,13495.0
