Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10745.9,10993.5,12181.9,12128.1
2,10521.0,10975.2,11689.7,12050.7
3,12539.9,12033.0,14056.1,14074.7
4,10933.0,12291.8,12690.2,14096.7
5,11925.0,12177.9,14108.3,14042.1
6,11951.7,11880.5,13448.9,13584.4
7,11911.6,11900.8,13148.6,13532.9
8,11731.9,11888.4,13546.7,13597.0
9,11680.7,11880.0,13606.0,13844.3
10,11497.2,12054.5,13156.7,13966.4
11,11737.5,11970.8,13551.7,13820.3
12,11919.2,11965.1,13725.0,13823.9
13,11782.5,11825.2,13407.2,13783.3
14,11290.4,11610.9,12763.9,13548.6
15,11739.1,11786.9,13377.8,13570.5
16,11698.8,11879.1,13517.5,13663.3
17,11652.2,11671.9,13311.8,13567.2
18,11862.1,11844.2,13398.1,13567.8
19,11554.1,11754.6,13229.8,13500.9
20,11353.9,11677.6,13273.7,13478.8
