Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,637.6,945.1,1515.5,1259.1
2,729.5,337.4,1222.6,936.2
3,741.2,230.5,1087.6,621.1
4,720.8,199.9,1029.5,544.8
5,675.9,192.9,984.1,528.8
6,622.8,193.4,938.9,509.6
7,565.1,195.2,901.7,489.2
8,537.6,196.8,883.2,473.1
9,516.9,198.1,863.2,456.1
10,505.6,199.8,845.8,439.7
11,504.3,212.3,834.0,454.0
12,507.4,210.9,841.6,466.3
13,514.3,206.3,834.4,461.6
14,517.9,203.8,817.7,453.0
15,501.4,204.6,793.4,443.5
16,486.3,206.1,774.0,435.3
17,486.5,206.9,764.0,428.6
18,481.2,207.8,748.7,420.6
19,474.3,208.7,733.9,412.5
20,467.8,209.8,723.5,404.9
