Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7648.7,7114.7,7885.7,7176.3
2,9163.6,7487.6,9132.5,7967.6
3,9460.2,7444.9,9221.9,7666.0
4,9247.0,7398.4,9232.1,7624.0
5,9231.5,7338.4,9126.9,7647.7
6,9188.0,7260.3,9151.2,7556.7
7,9111.4,6904.4,8565.1,6709.6
8,9075.9,6922.0,8954.6,7348.7
9,9042.2,6831.3,9008.9,7293.1
10,8947.5,6730.1,8961.6,7198.6
11,8662.4,6661.5,8681.6,7166.5
12,8513.6,6626.8,8749.5,7119.1
13,8744.4,6628.0,8834.3,7177.3
14,8711.2,6535.8,8600.0,7069.6
15,8554.9,6494.4,8747.7,7076.9
16,8742.4,6398.8,8731.6,7008.7
17,8548.9,6294.4,8607.9,6934.6
18,8443.8,6237.4,8661.0,6845.5
19,8285.8,6135.8,8592.5,6759.9
20,8037.7,6101.0,8656.2,6761.3
