Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7654.8,7116.3,7890.8,7178.6
2,7477.7,7116.5,7295.9,7213.2
3,9450.9,7463.4,9219.8,7664.0
4,8864.5,7261.9,8304.8,7674.2
5,9235.2,7341.2,9129.8,7638.3
6,8668.6,7139.7,8697.2,7379.7
7,9113.3,6929.0,8622.5,6690.6
8,8749.7,6950.9,8714.5,7260.7
9,8596.5,6843.4,8375.7,7210.9
10,8681.2,6768.8,8539.8,7235.2
11,8250.3,6591.4,8646.0,7176.3
12,8704.4,6606.4,8742.6,7137.2
13,8513.9,6488.5,8656.6,7133.9
14,8246.0,6374.1,7961.5,6874.2
15,8525.5,6448.1,8700.8,7012.5
16,8393.3,6400.7,8783.4,7006.3
17,8407.7,6253.8,8693.2,6887.9
18,8534.9,6246.3,8592.7,6880.8
19,8247.5,6162.1,8621.3,6803.7
20,8346.6,6108.9,8628.6,6759.8
