Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,639.6,945.4,1515.7,1260.7
2,554.8,867.0,1394.5,1122.0
3,750.1,230.7,1087.8,619.6
4,674.3,283.8,1128.5,805.5
5,684.6,192.3,984.2,528.9
6,637.1,218.1,1001.3,577.4
7,583.8,194.6,901.5,492.1
8,566.0,214.3,922.1,521.8
9,595.5,204.1,893.7,522.1
10,579.7,202.6,825.6,488.8
11,559.7,203.0,813.2,480.2
12,536.9,203.3,805.9,473.0
13,521.9,203.8,801.9,463.7
14,506.8,204.1,793.9,452.4
15,504.3,205.0,790.2,447.0
16,489.5,206.5,772.5,437.9
17,487.8,207.1,761.8,430.0
18,479.8,208.4,748.9,419.6
19,475.9,208.8,735.2,412.8
20,468.6,209.7,723.4,406.1
