Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,638.9,945.6,1514.8,1260.2
2,730.8,336.7,1221.3,941.0
3,745.4,230.8,1087.4,617.8
4,697.6,200.2,1023.6,534.1
5,675.0,192.5,984.3,529.4
6,626.2,193.1,939.9,511.6
7,572.2,194.7,900.2,492.0
8,535.6,197.0,879.7,464.8
9,517.2,197.9,862.4,458.6
10,507.7,199.2,846.0,443.6
11,616.3,220.5,885.6,501.4
12,720.9,242.8,917.3,549.9
13,820.1,265.1,938.0,593.7
14,878.9,288.3,957.1,641.5
15,902.2,308.8,970.7,684.0
16,915.1,331.0,983.1,726.1
17,929.0,355.1,994.2,774.7
18,941.1,371.0,1001.5,812.5
19,955.2,384.4,1005.8,836.0
20,961.8,400.3,1015.5,864.2
