Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3366.4,5290.5,4222.8,4014.0
2,6703.5,10331.2,8367.7,7707.2
3,9281.3,14193.7,12106.8,11508.2
4,13326.9,20781.9,16576.9,15769.6
5,15740.3,20424.6,19526.6,18642.4
6,17201.1,21272.6,21119.1,18531.8
7,21510.3,22999.7,24729.8,24407.4
8,23320.2,23903.1,27712.7,27771.0
9,22531.7,22134.9,26098.9,24631.8
10,24242.4,23819.1,27492.7,27580.2
11,23177.3,23174.0,25840.3,25758.3
12,21892.1,21773.2,24570.8,24821.6
13,20229.4,20247.0,23048.5,22962.1
14,19219.7,19221.0,21554.6,21667.9
15,18408.6,18278.2,20574.1,20709.1
16,18955.1,18806.9,21311.4,21246.3
17,20161.0,20044.1,22670.4,22709.9
18,21327.9,21150.0,24130.8,24215.3
19,22508.3,22297.2,25544.5,25716.8
20,23524.9,23556.7,26786.6,27067.9
