Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7651.4,7116.7,7887.5,7178.8
2,9131.2,7549.7,9120.1,7969.2
3,9450.7,7445.2,9224.3,7656.7
4,9281.3,7411.2,9218.6,7662.5
5,9233.9,7364.5,9121.5,7637.7
6,9197.0,7271.7,9140.0,7543.8
7,9082.0,6913.1,8577.1,6781.4
8,9056.6,6960.1,8949.3,7375.5
9,9009.6,6832.0,9007.7,7304.4
10,8924.9,6659.4,8973.9,7204.1
11,9236.0,6977.5,9231.4,7574.1
12,9438.8,7197.3,9519.9,7911.2
13,9602.8,7538.2,9711.6,8304.5
14,9678.3,7587.0,9817.3,8300.0
15,9801.8,7893.9,10095.8,8631.5
16,9948.0,8119.4,10304.9,8891.9
17,10015.2,8301.3,10387.1,9044.1
18,10070.2,8400.8,10507.5,9228.4
19,10018.5,8496.7,10444.6,9302.0
20,10037.5,8600.8,10595.5,9474.3
