Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7657.7,7116.7,7895.2,7180.6
2,9920.3,9146.6,10602.7,9659.3
3,10102.2,8652.8,10449.0,9293.2
4,10610.1,9338.2,11089.6,10054.3
5,10366.1,8842.6,10664.9,9576.8
6,10479.3,9117.2,11018.3,10031.4
7,10256.7,8729.2,10536.7,9442.2
8,10380.0,9087.0,10968.1,9900.9
9,10637.9,9360.1,11236.8,10239.2
10,10467.1,8948.8,10923.6,9844.1
11,10509.7,9184.5,11036.1,10064.3
12,10664.2,9344.9,11250.3,10313.0
13,10688.2,9446.7,11300.6,10499.9
14,10700.6,9527.3,11326.0,10567.6
15,10788.9,9735.9,11504.9,10762.0
16,10692.7,9521.1,11320.3,10501.2
17,10566.8,9253.5,11051.0,10195.2
18,10400.9,9061.1,10945.8,9970.2
19,10164.3,8839.1,10689.5,9695.4
20,10090.6,8604.1,10623.6,9474.6
