Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3362.0,5290.8,4144.0,4023.0
2,6513.6,8893.1,8279.1,7944.8
3,9375.5,11824.2,11753.9,11201.8
4,11937.6,11849.3,13507.5,13362.7
5,12010.9,11949.8,13579.7,13390.5
6,11921.1,11948.5,13490.1,13538.6
7,11862.8,11914.6,13471.6,13638.5
8,11806.2,11839.1,13410.1,13450.8
9,11808.6,11797.6,13334.8,13437.6
10,11758.7,11817.8,13350.9,13370.3
11,12911.2,13030.6,14714.0,14815.3
12,14149.7,14290.7,16159.1,16255.1
13,15191.7,15360.2,17442.9,17593.4
14,16478.3,16658.0,18864.9,19057.4
15,17622.5,17879.5,20167.4,20398.5
16,18929.6,19080.8,21510.0,21785.3
17,20118.7,20071.5,22688.4,23088.9
18,20303.2,19300.6,22354.3,22542.2
19,22424.9,22354.2,25502.3,25739.2
20,22935.4,22538.4,26257.6,26452.4
