Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3364.2,5279.9,4216.2,4012.1
2,6410.4,10290.2,8392.6,7663.1
3,9967.2,15526.9,12455.8,11876.8
4,13337.3,20645.1,16571.4,15844.0
5,15692.4,20104.6,19543.8,18649.3
6,17315.2,20900.5,20991.3,20233.5
7,21194.6,21292.2,24736.9,24604.5
8,23815.5,23993.4,27239.0,27385.0
9,22005.2,22577.2,24940.7,24866.1
10,23940.3,23877.8,26897.1,27389.4
11,22780.3,22827.9,25547.1,25259.4
12,19905.0,19942.9,22633.6,22432.8
13,20141.5,19908.5,22547.7,22833.9
14,19120.0,19222.0,21566.4,21791.2
15,18204.0,18359.3,20769.5,20896.8
16,18794.6,18828.6,21135.7,21239.3
17,19792.9,20045.1,22675.7,22726.8
18,20429.3,21341.3,23731.4,24047.8
19,22410.5,22513.3,25160.9,25301.5
20,23000.4,22221.3,26472.0,27012.7
