Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,10749.3,10998.2,12198.7,12131.6
2,12267.9,11891.3,13979.9,13872.4
3,12557.1,12090.8,14114.6,14105.0
4,12478.3,12243.4,14192.3,14093.7
5,12063.9,12235.0,13954.7,14057.4
6,12179.6,12159.1,14167.5,14136.1
7,11922.5,11945.6,13139.3,13505.8
8,12008.3,12079.2,13769.0,13815.6
9,12138.0,12113.9,13834.8,13842.5
10,12011.3,11928.5,13701.9,13666.3
11,11599.8,11328.1,12939.4,12679.4
12,11417.1,10814.3,12569.0,12105.1
13,11176.7,10430.0,12112.5,11548.8
14,11015.1,10011.5,11763.5,11083.7
15,10817.9,9736.0,11517.5,10775.8
16,10652.2,9458.2,11244.8,10438.2
17,10491.7,9212.1,11053.2,10189.1
18,10389.9,9063.8,10902.7,9938.3
19,10166.7,8889.2,10700.2,9687.7
20,10074.4,8561.7,10556.9,9444.8
