Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7660.3,7114.4,7891.3,7178.7
2,9909.8,9222.5,10600.6,9651.5
3,10083.6,8677.5,10439.8,9300.1
4,10590.8,9326.3,11083.3,10036.0
5,10353.8,8806.2,10675.7,9576.3
6,10588.0,9186.7,11033.2,10034.5
7,10296.7,8715.0,10543.6,9468.5
8,10322.4,9055.3,10954.8,9927.2
9,10636.6,9337.1,11217.0,10221.0
10,10430.9,8914.1,10900.4,9837.0
11,10553.9,9215.0,11049.1,10076.2
12,10649.2,9329.3,11285.9,10334.9
13,10596.0,9452.3,11213.7,10461.1
14,10745.9,9537.5,11338.6,10573.6
15,10856.9,9739.1,11584.7,10833.6
16,10658.3,9510.3,11321.5,10499.7
17,10549.1,9249.8,11065.0,10184.9
18,10384.5,9067.7,10943.0,9966.1
19,10169.6,8828.7,10690.9,9685.9
20,10127.5,8584.9,10638.8,9487.6
