Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11340.4,11664.3,12812.4,12810.0
2,14063.7,13865.4,16105.8,15971.7
3,14064.5,14133.0,16120.0,16330.8
4,14103.1,14032.4,16164.6,16032.6
5,14016.5,14053.8,16210.5,16217.3
6,14094.8,14037.2,16147.7,16060.2
7,14095.3,13992.9,16026.0,15999.3
8,13889.9,13840.6,15973.2,15906.0
9,13989.6,13945.7,15955.2,15966.6
10,13935.6,13894.4,15937.3,15998.9
11,13594.0,13167.0,15092.6,14807.0
12,13203.8,12501.3,14552.3,14045.3
13,12918.1,11948.0,14083.3,13432.3
14,12736.2,11544.2,13763.4,12929.0
15,12541.5,11246.4,13464.2,12587.4
16,12356.7,10981.8,13141.7,12183.0
17,12250.4,10713.6,12982.0,11922.2
18,12043.8,10485.0,12772.5,11652.1
19,11723.3,10232.9,12481.8,11360.3
20,11653.6,9985.2,12331.6,11150.2
