Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7651.7,7099.6,7884.7,7172.5
2,9121.9,7447.2,9094.6,7855.6
3,9389.0,7415.0,9245.0,7829.2
4,9247.8,7342.6,9226.5,7856.5
5,9251.0,7305.1,9178.2,7842.0
6,9180.8,7268.9,9191.6,7817.9
7,9089.5,7122.4,8990.5,7665.9
8,9016.2,7062.4,9000.7,7690.3
9,8979.7,6987.3,9001.7,7664.1
10,8910.6,6903.7,8946.3,7596.0
11,9155.5,7210.0,9190.3,7940.3
12,9323.6,7427.2,9514.2,8191.6
13,9506.5,7683.4,9688.4,8455.3
14,9667.5,7822.0,9887.8,8621.4
15,9823.4,8038.8,10117.0,8935.9
16,9882.3,8234.6,10235.6,9068.8
17,9970.3,8342.8,10390.5,9229.1
18,9965.2,8412.6,10437.1,9340.7
19,10003.5,8506.4,10457.5,9447.8
20,9985.8,8601.1,10578.8,9565.1
