Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7650.2,7100.3,7880.4,7172.5
2,9913.1,9202.2,10598.7,9672.6
3,10070.0,8676.7,10419.3,9289.6
4,10539.7,9257.7,11078.3,9998.4
5,10314.9,8784.9,10645.9,9529.0
6,10573.9,9182.4,11022.3,10006.3
7,10246.6,8734.1,10544.1,9511.8
8,10398.2,9094.9,10968.0,9938.8
9,10627.6,9339.3,11229.9,10249.1
10,10405.7,9038.7,10928.7,9909.9
11,10471.1,9171.9,11078.0,10088.9
12,10574.9,9311.9,11219.2,10309.5
13,10603.7,9422.8,11281.6,10412.3
14,10648.3,9484.5,11321.7,10546.5
15,10790.8,9708.1,11543.7,10780.2
16,10582.6,9453.0,11253.8,10440.4
17,10497.5,9161.0,11077.6,10185.9
18,10360.9,9021.5,10941.7,9998.6
19,10122.6,8807.7,10724.0,9763.1
20,10051.7,8642.1,10559.2,9580.6
