Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7649.7,7102.6,7887.5,7173.4
2,9905.2,9070.0,10585.9,9663.2
3,10064.4,8671.9,10408.3,9262.4
4,10565.8,9245.5,11071.1,10031.6
5,10326.6,8794.9,10624.9,9511.4
6,10551.5,9148.9,11003.9,10001.3
7,10177.1,8726.7,10559.9,9492.5
8,10368.3,9091.3,10993.7,9930.5
9,10540.8,9339.1,11189.0,10220.9
10,10416.6,9027.3,10921.3,9866.9
11,10479.6,9209.7,11078.3,10076.4
12,10604.5,9302.7,11211.1,10293.7
13,10631.7,9449.7,11279.7,10464.2
14,10624.9,9492.4,11341.5,10528.9
15,10800.2,9681.4,11571.3,10786.7
16,10660.2,9467.0,11279.9,10472.4
17,10458.3,9172.8,11103.4,10175.6
18,10318.2,9009.9,10921.9,9959.3
19,10143.0,8779.2,10731.0,9766.1
20,10033.1,8630.3,10593.1,9594.4
