Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,592.9,350.0,1519.3,927.5
2,330.6,210.0,1202.9,295.6
3,281.2,174.4,1046.6,228.7
4,258.1,159.2,931.6,199.5
5,254.8,151.6,888.3,188.7
6,252.1,147.8,867.1,183.3
7,249.3,145.9,861.6,181.2
8,244.7,145.7,835.8,178.1
9,249.4,145.5,832.5,184.8
10,249.9,146.6,814.6,188.4
11,319.6,158.7,858.0,227.8
12,401.4,170.4,890.1,262.8
13,513.7,181.3,913.4,300.0
14,659.1,192.3,933.2,348.0
15,726.4,202.6,951.1,395.0
16,741.1,212.9,966.5,453.6
17,745.0,223.7,977.7,523.6
18,748.9,234.9,988.0,606.6
19,765.2,246.2,998.0,680.4
20,776.4,257.0,1009.0,789.1
