Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,7208.4,6118.5,5971.5,6317.1
2,12931.4,11357.7,11787.8,12397.1
3,15356.7,13953.2,15963.0,16731.1
4,17427.1,16382.5,19065.2,19593.0
5,17111.9,16802.0,19584.8,20058.8
6,17846.4,17700.3,20764.7,21041.9
7,16260.1,15610.7,18711.2,19033.9
8,16938.8,16465.4,19569.5,19843.9
9,17600.6,17175.9,20260.9,20559.0
10,17057.2,16702.8,19803.0,20253.2
11,17647.2,17284.2,20196.7,20634.7
12,18107.8,17765.5,20600.7,20962.3
13,18444.5,18121.1,20941.1,21242.5
14,18821.6,18463.4,21235.5,21503.6
15,19104.0,18577.9,21509.0,21702.8
16,18735.5,18324.2,21180.5,21453.1
17,18258.2,17902.1,20740.1,21177.1
18,17882.5,17792.8,20484.3,20945.3
19,17652.1,17522.0,20267.0,20712.7
20,17525.2,17324.9,20108.2,20595.2
