Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,4179.1,4453.5,4636.2,4678.6
2,7337.1,7716.4,8193.7,8241.2
3,8998.0,9308.1,10254.5,10238.3
4,9718.8,9809.6,11022.9,11092.4
5,9679.7,9803.7,11268.0,11315.9
6,9765.9,9746.1,11322.1,11224.1
7,9634.0,9531.0,11203.6,11060.4
8,9608.7,9575.8,11156.7,11037.6
9,9747.4,9630.1,11201.7,11047.2
10,9695.3,9664.7,11234.8,11107.6
11,9320.9,9269.1,10717.8,10655.4
12,9421.1,9324.4,10832.3,10770.4
13,9499.9,9405.7,10906.8,10830.5
14,9531.6,9394.1,10961.4,10859.9
15,9558.3,9405.4,10944.5,10887.3
16,9542.9,9377.1,10946.4,10876.5
17,9524.3,9313.5,10886.2,10796.1
18,9452.3,9269.8,10821.1,10733.0
19,9406.7,9234.8,10785.6,10686.8
20,9351.1,9205.1,10743.7,10626.6
