Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,11169.0,11427.9,12515.9,12386.9
2,16891.9,16953.4,19359.7,19376.4
3,19575.4,19450.3,22747.1,22657.1
4,21233.6,21018.1,24262.1,24100.8
5,21982.6,21471.9,24503.3,24266.7
6,21980.8,21403.5,24401.2,24088.2
7,21943.0,21351.2,24367.2,24097.3
8,21883.4,21306.6,24289.3,24031.2
9,21839.7,21287.6,24247.6,23999.8
10,21824.8,21271.2,24219.7,23949.9
11,22379.8,21944.3,24884.1,24561.5
12,21753.6,20644.9,23987.3,24006.7
13,21052.6,20288.6,23470.5,23451.5
14,20363.5,19825.5,22906.0,22975.1
15,19848.4,19424.1,22472.5,22595.3
16,19342.8,19020.7,22007.0,22189.5
17,18954.9,18570.9,21632.2,21798.8
18,18559.1,18280.1,21321.0,21457.7
19,17922.9,17826.3,20920.1,21061.3
20,17896.7,17707.7,20873.9,21031.4
