Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3949.1,3812.0,3881.6,3916.9
2,6793.4,6622.6,6873.9,6817.3
3,8195.0,8109.0,8442.1,8368.0
4,8568.4,8348.4,9234.9,9013.4
5,8051.0,7390.4,8867.4,8753.9
6,8287.3,7672.1,9037.1,8893.2
7,8618.3,8045.4,9160.7,9011.4
8,8744.9,8392.2,9390.7,9298.7
9,8827.5,8419.8,9504.1,9349.9
10,8773.6,8430.1,9529.1,9328.8
11,8870.3,8558.1,8607.5,8844.9
12,8888.4,8570.4,8885.8,8980.1
13,8914.8,8627.0,9037.2,9075.3
14,8894.0,8627.1,9109.9,9093.0
15,8961.7,8672.6,9285.9,9255.9
16,8994.3,8700.6,9400.4,9325.8
17,8958.2,8697.3,9389.1,9352.4
18,8994.5,8729.2,9553.8,9458.8
19,8996.5,8751.4,9535.3,9463.8
20,9024.1,8737.2,9596.8,9513.8
