Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,3983.3,3812.2,3897.5,3931.7
2,4512.6,4314.8,3695.1,4040.5
3,5946.5,5700.5,4616.5,5285.8
4,6982.0,6725.3,6000.1,6411.6
5,7757.5,7577.7,7016.4,7390.5
6,8221.7,7949.7,7708.1,8027.0
7,8413.1,8161.6,8097.1,8335.5
8,8557.5,8312.3,8472.5,8678.0
9,8681.2,8441.4,8760.0,8913.0
10,8817.1,8582.4,8932.7,9035.7
11,8875.4,8585.2,9137.0,9171.2
12,8935.9,8619.6,9239.4,9292.6
13,8941.1,8614.7,9282.3,9342.0
14,8788.8,8668.0,9325.2,9334.4
15,8840.6,8692.5,9440.2,9475.0
16,8975.4,8685.9,9492.5,9437.1
17,8985.6,8689.9,9495.4,9443.8
18,9010.4,8672.3,9558.7,9467.0
19,9005.5,8687.5,9588.5,9511.7
20,9046.5,8705.3,9619.0,9496.7
