Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,8181.5,6714.7,6517.6,6876.5
2,14955.0,12813.4,12899.0,13511.0
3,18813.1,16876.4,18345.7,19094.7
4,20870.0,19344.2,22251.9,22646.0
5,19639.9,18214.1,21896.2,21598.3
6,20079.1,18945.6,22303.6,21892.8
7,20867.6,19733.1,22795.1,22583.4
8,20940.2,19863.9,22863.0,22645.8
9,20983.1,20095.5,22989.2,22720.2
10,21141.1,20142.7,23095.3,22888.5
11,21777.3,20798.7,23856.9,23675.4
12,21118.0,20085.4,23262.6,23080.7
13,20523.8,19681.2,22812.8,22649.2
14,19967.8,19294.3,22381.6,22294.3
15,19446.3,18904.3,21940.3,21968.1
16,18962.6,18570.5,21549.2,21648.9
17,18500.7,18209.1,21149.0,21371.5
18,18115.7,17873.3,20854.3,21133.8
19,17836.4,17627.5,20590.6,20920.9
20,17630.6,17376.8,20396.3,20710.4
