Number of Threads,Copy Rate (MB/s),Scale Rate (MB/s),Add Rate (MB/s),Triad Rate (MB/s)
1,8207.1,6718.1,6526.3,6876.9
2,12790.8,11254.0,11726.3,12348.9
3,16493.1,15207.8,17011.6,17323.6
4,17405.9,16263.5,18894.2,19453.0
5,18152.7,16616.6,20438.0,20608.1
6,17408.1,16344.9,20129.7,20296.0
7,18124.7,17116.2,20715.9,20951.5
8,17298.8,16788.4,20065.2,20330.7
9,16892.6,16285.3,19795.3,19946.6
10,17508.1,17027.4,20359.5,20591.0
11,17069.4,16621.3,19930.9,20121.9
12,16967.7,16383.7,19681.8,19780.8
13,16699.5,16166.0,19435.6,19544.0
14,16625.6,16069.1,19259.3,19343.0
15,16518.2,15968.7,19137.5,19224.8
16,16693.1,16212.1,19373.1,19515.8
17,16792.6,16412.9,19508.5,19754.9
18,17138.5,16800.9,19870.5,20139.1
19,17393.6,17119.7,20140.5,20434.7
20,17660.0,17386.0,20434.1,20697.9
